delta_tf,delta_idf,delta_entropy,y
-0.4499999999999993,108.0,3.124628980436038,1.0
0.4499999999999993,-108.0,-3.124628980436038,-1.0
0.5100000000000002,111.0,3.3665295228949863,1.0
-0.5100000000000002,-111.0,-3.3665295228949863,-1.0
0.30000000000000027,67.0,1.838280580223709,1.0
-0.30000000000000027,-67.0,-1.838280580223709,-1.0
-0.8700000000000001,94.0,1.918149144902722,1.0
0.8700000000000001,-94.0,-1.918149144902722,-1.0
-0.6999999999999993,111.0,3.4365371610078554,1.0
0.6999999999999993,-111.0,-3.4365371610078554,-1.0
0.6100000000000003,84.0,2.083474226074695,1.0
-0.6100000000000003,-84.0,-2.083474226074695,-1.0
0.020000000000000462,100.0,2.603803267006403,1.0
-0.020000000000000462,-100.0,-2.603803267006403,-1.0
1.6000000000000005,75.0,1.9859008986581401,1.0
-1.6000000000000005,-75.0,-1.9859008986581401,-1.0
0.4200000000000004,88.0,2.0682351064177515,1.0
-0.4200000000000004,-88.0,-2.0682351064177515,-1.0
-0.29000000000000004,59.0,1.9156221881571571,1.0
0.29000000000000004,-59.0,-1.9156221881571571,-1.0
-1.04,81.0,2.408984808361526,1.0
1.04,-81.0,-2.408984808361526,-1.0
0.3600000000000003,109.0,3.085160408561697,1.0
-0.3600000000000003,-109.0,-3.085160408561697,-1.0
-0.4399999999999995,85.0,2.7326404850683286,1.0
0.4399999999999995,-85.0,-2.7326404850683286,-1.0
1.4800000000000004,105.0,2.928764191244513,1.0
-1.4800000000000004,-105.0,-2.928764191244513,-1.0
0.5400000000000005,90.0,2.0338885163722846,1.0
-0.5400000000000005,-90.0,-2.0338885163722846,-1.0
0.30000000000000027,90.0,2.795046025017441,1.0
-0.30000000000000027,-90.0,-2.795046025017441,-1.0
0.3400000000000003,100.0,3.3646558808161564,1.0
-0.3400000000000003,-100.0,-3.3646558808161564,-1.0
0.11000000000000032,83.0,1.8346225194315435,1.0
-0.11000000000000032,-83.0,-1.8346225194315435,-1.0
-0.9399999999999995,100.0,2.5914751764930233,1.0
0.9399999999999995,-100.0,-2.5914751764930233,-1.0
0.6600000000000001,76.0,1.8705660897297591,1.0
-0.6600000000000001,-76.0,-1.8705660897297591,-1.0
0.5100000000000002,100.0,2.5555437912354826,1.0
-0.5100000000000002,-100.0,-2.5555437912354826,-1.0
2.1100000000000003,100.0,2.488350232109016,1.0
-2.1100000000000003,-100.0,-2.488350232109016,-1.0
-0.019999999999999574,104.0,3.253905777101758,1.0
0.019999999999999574,-104.0,-3.253905777101758,-1.0
0.9500000000000002,107.0,3.2960352313097503,1.0
-0.9500000000000002,-107.0,-3.2960352313097503,-1.0
2.0900000000000003,109.0,3.3123282155471374,1.0
-2.0900000000000003,-109.0,-3.3123282155471374,-1.0
1.4100000000000001,108.0,3.1243672270545,1.0
-1.4100000000000001,-108.0,-3.1243672270545,-1.0
0.5700000000000003,110.0,3.4365371610078554,1.0
-0.5700000000000003,-110.0,-3.4365371610078554,-1.0
2.6900000000000004,110.0,3.3665295228949863,1.0
-2.6900000000000004,-110.0,-3.3665295228949863,-1.0
-0.1899999999999995,54.0,1.61922648624157,1.0
0.1899999999999995,-54.0,-1.61922648624157,-1.0
-0.6100000000000003,40.0,0.412746650708254,1.0
0.6100000000000003,-40.0,-0.412746650708254,-1.0
